Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 12/23  13:00:00,1204.99336812,97.5528266176,524.967728894,0.0,131.945524568,274.45309292,518.785327657,421.478025277,70.808374512,26.4989278678
 12/23  14:00:00,1195.99103084,97.6341937656,523.203198493,0.0,131.945524568,266.955817592,498.667766081,415.525446656,56.6466996096,26.4956198154
 12/23  15:00:00,1190.94703141,97.6906267016,517.72014292,0.0,131.945524568,266.955817592,487.283333343,409.479421757,42.4850247072,35.3188868795
 12/23  16:00:00,1114.94662355,96.1775156129,520.208278527,0.0,109.682768182,212.545889182,401.182840813,318.035669847,56.6466996096,26.5004713563
 12/23  17:00:00,1131.71075184,96.1775156129,526.249615276,0.0,109.682768182,220.04316451,438.159329114,326.698567486,84.9700494144,26.4907122141
 12/23  18:00:00,1103.6999498,96.1775156129,529.235061992,0.0,109.682768182,220.04316451,442.595461546,331.265402246,84.9700494144,26.3600098855
 12/23  19:00:00,1063.17704038,96.1775156129,527.527567193,0.0,100.150657288,199.110933808,466.312687127,363.925928201,84.9700494144,17.4167095121
 12/23  20:00:00,1055.49363341,96.1775156129,526.544725457,0.0,100.150657288,191.61365848,440.851757592,366.789899743,56.6466996096,17.4151582398
 12/23  21:00:00,939.910779929,96.1775156129,522.300448675,0.0,55.6251445156,124.558693486,471.411341252,406.045801395,56.6466996096,8.71884024814
 12/23  22:00:00,937.307957335,96.1775156129,519.972199808,0.0,55.6251445156,124.558693486,469.035676713,409.136827119,42.4850247072,17.4138248865
 12/23  23:00:00,961.556984403,96.1775156129,556.662076782,0.0,46.0930336215,124.558693486,483.326542304,437.587611678,28.3233498048,17.4155808209
 12/23  24:00:00,995.566326427,96.1775156129,591.678392417,0.0,46.0930336215,124.558693486,478.223967091,455.343233975,14.1616749024,8.71905821376
 12/24  01:00:00,982.926131427,96.1775156129,603.609198238,0.0,34.9616554283,113.312780494,484.76137259,461.680156387,5.66466996096,17.4165462422
 12/24  02:00:00,985.29850305,96.1775156129,606.37439829,0.0,34.9616554283,113.312780494,488.129267179,465.048150184,5.66466996096,17.4164470335
 12/24  03:00:00,984.003480575,96.1775156129,605.132393781,0.0,34.9616554283,113.312780494,482.656737931,468.27251832,5.66466996096,8.71954965079
 12/24  04:00:00,984.73696159,96.1775156129,605.939577285,0.0,34.9616554283,113.312780494,495.386401849,472.30607943,5.66466996096,17.4156524585
 12/24  05:00:00,999.266767715,96.1775156129,610.562999728,0.0,44.4937663224,113.312780494,487.613444713,464.531720784,5.66466996096,17.4170539681
 12/24  06:00:00,1000.57747024,96.1775156129,612.08845708,0.0,44.4937663224,113.312780494,489.147807349,466.269238527,14.1616749024,8.71689391947
 12/24  07:00:00,1074.4789609,96.1775156129,613.63408662,0.0,54.0258772165,176.889270242,453.15355174,407.414010452,28.3233498048,17.4161914827
 12/24  08:00:00,1058.51531959,96.1775156129,606.782571367,0.0,54.0258772165,184.38654557,462.089826476,402.187184882,42.4850247072,17.4176168865
 12/24  09:00:00,1133.65997518,96.1775156129,602.71046385,0.0,65.1572554096,220.04316451,455.229754586,381.086222759,56.6466996096,17.4968322174
 12/24  10:00:00,1124.4227228,96.1775156129,601.241515288,0.0,65.1572554096,212.545889182,448.604663909,379.76858614,42.4850247072,26.3510530618
 12/24  11:00:00,1127.7507612,96.1775156129,597.429758364,0.0,65.1572554096,220.04316451,473.568994592,376.287296143,70.808374512,26.4733239368
 12/24  12:00:00,1126.85006171,96.1775156129,595.363990021,0.0,65.1572554096,220.04316451,463.581937473,366.300440774,70.808374512,26.4731221873
 12/24  13:00:00,1123.52617669,96.1775156129,593.006993381,0.0,65.1572554096,220.04316451,472.005551294,365.909020194,70.808374512,35.2881565877
 12/24  14:00:00,1118.42214395,96.1775156129,587.380933419,0.0,65.1572554096,212.545889182,451.852490182,368.731057307,56.6466996096,26.4747332663
 12/24  15:00:00,1122.47761022,96.1775156129,579.571640499,0.0,65.1572554096,212.545889182,440.648226485,371.687770312,42.4850247072,26.4754314665
 12/24  16:00:00,1119.0053507,96.1775156129,572.788605089,0.0,65.1572554096,212.545889182,460.859205903,377.742785199,56.6466996096,26.4697210949
 12/24  17:00:00,1087.5273918,96.1775156129,570.543470132,0.0,65.1572554096,220.04316451,502.986314455,382.724996798,84.9700494144,35.2912682429
 12/24  18:00:00,1045.96159893,96.1775156129,571.458888233,0.0,54.0258772165,184.38654557,503.554911604,401.009513822,84.9700494144,17.5753483676
 12/24  19:00:00,1017.00007578,96.1775156129,569.100112404,0.0,44.4937663224,163.454314868,544.378584233,441.991747853,84.9700494144,17.4167869659
 12/24  20:00:00,1007.38902469,96.1775156129,561.703925358,0.0,44.4937663224,155.95703954,527.62549827,453.560572355,56.6466996096,17.4182263051
 12/24  21:00:00,970.799136447,96.1775156129,554.907094823,0.0,44.4937663224,124.558693486,557.75472452,492.390603029,56.6466996096,8.71742188171
 12/24  22:00:00,965.764377053,96.1775156129,553.376005442,0.0,44.4937663224,124.558693486,559.222139508,499.319762526,42.4850247072,17.4173522757
 12/24  23:00:00,964.335787605,96.1775156129,554.379592738,0.0,34.9616554283,124.558693486,562.721700122,516.982519895,28.3233498048,17.4158304218
 12/24  24:00:00,976.375460539,96.1775156129,551.283854308,0.0,34.9616554283,124.558693486,547.769330485,524.889969309,14.1616749024,8.717686273
 12/25  01:00:00,962.140785815,96.1775156129,544.417884607,0.0,34.9616554283,113.312780494,554.031895674,530.948982661,5.66466996096,17.4182430526
 12/25  02:00:00,956.909619844,96.1775156129,538.835159594,0.0,34.9616554283,113.312780494,561.563434842,538.48195203,5.66466996096,17.4168128513
 12/25  03:00:00,931.324032369,96.1775156129,513.739192158,0.0,34.9616554283,113.312780494,571.79585345,548.7158285,5.66466996096,17.4153549891
 12/25  04:00:00,861.684509003,96.1775156129,441.228959637,0.0,34.9616554283,113.312780494,573.783569652,559.399970529,5.66466996096,8.71892916274
 12/25  05:00:00,820.694382725,96.1775156129,390.323389117,0.0,44.4937663224,113.312780494,579.294442882,556.212233895,5.66466996096,17.4175390258
 12/25  06:00:00,805.656997507,96.1775156129,377.639310793,0.0,44.4937663224,113.312780494,593.518183657,561.940502889,14.1616749024,17.416005866
 12/25  07:00:00,885.266603329,96.1775156129,385.596779518,0.0,54.0258772165,176.889270242,536.66098604,499.618345984,28.3233498048,8.71929025087
 12/25  08:00:00,936.117923852,96.1775156129,445.751495233,0.0,54.0258772165,184.38654557,538.515203909,478.614909596,42.4850247072,17.415269605
 12/25  09:00:00,1088.02593269,96.1775156129,522.589037299,0.0,65.1572554096,220.04316451,513.680921636,439.537552175,56.6466996096,17.4966698514
 12/25  10:00:00,1097.38854814,96.1775156129,538.314312719,0.0,65.1572554096,212.545889182,491.261374459,422.424334662,42.4850247072,26.3520150899
 12/25  11:00:00,1116.86060227,96.1775156129,547.872627872,0.0,65.1572554096,220.04316451,510.605932337,413.324249008,70.808374512,26.4733088168
 12/25  12:00:00,1123.27905844,96.1775156129,556.566298229,0.0,65.1572554096,220.04316451,500.231694426,402.950118069,70.808374512,26.4732018455
 12/25  13:00:00,1125.10568516,96.1775156129,564.67479361,0.0,65.1572554096,220.04316451,501.130361294,395.025309982,70.808374512,35.2966767999
 12/25  14:00:00,1120.85791011,96.1775156129,571.949058436,0.0,65.1572554096,212.545889182,467.363101897,384.240340692,56.6466996096,26.4760615956
 12/25  15:00:00,1127.07976711,96.1775156129,577.496926724,0.0,65.1572554096,212.545889182,437.932607365,368.976970962,42.4850247072,26.4706116959
 12/25  16:00:00,1131.41133206,96.1775156129,579.104996931,0.0,65.1572554096,212.545889182,456.312867588,364.373698677,56.6466996096,35.2924693023
 12/25  17:00:00,1109.37656226,96.1775156129,576.173282615,0.0,65.1572554096,220.04316451,493.874159851,382.425558353,84.9700494144,26.4785520837
 12/25  18:00:00,1066.0667908,96.1775156129,570.274792282,0.0,54.0258772165,184.38654557,529.595161245,418.273229573,84.9700494144,26.3518822583
 12/25  19:00:00,1025.79880636,96.1775156129,560.593191548,0.0,44.4937663224,163.454314868,559.916501673,466.229853489,84.9700494144,8.71659876999
 12/25  20:00:00,992.044947043,96.1775156129,533.81699937,0.0,44.4937663224,155.95703954,555.21633521,481.153087576,56.6466996096,17.4165480245
 12/25  21:00:00,881.687287668,96.1775156129,447.970915431,0.0,44.4937663224,124.558693486,597.416670914,523.351951791,56.6466996096,17.4180195138
 12/25  22:00:00,828.395235608,96.1775156129,391.556559122,0.0,44.4937663224,124.558693486,584.54726938,533.344879217,42.4850247072,8.71736545592
 12/25  23:00:00,784.24126852,96.1775156129,355.451288267,0.0,34.9616554283,124.558693486,599.605609637,553.865032946,28.3233498048,17.4172268862
 12/25  24:00:00,755.857809001,96.1775156129,327.652600835,0.0,34.9616554283,124.558693486,600.244546229,568.664614642,14.1616749024,17.4182566843
 12/26  01:00:00,727.457096917,96.1775156129,300.153315873,0.0,46.0930336215,113.312780494,608.814420914,594.431955578,5.66466996096,8.71779537459
 12/26  02:00:00,709.355679953,96.1775156129,281.202720898,0.0,46.0930336215,113.312780494,634.805411881,611.722415569,5.66466996096,17.4183263505
 12/26  03:00:00,700.018611943,96.1775156129,270.782261403,0.0,46.0930336215,113.312780494,649.03781509,625.956210939,5.66466996096,17.4169341907
 12/26  04:00:00,687.315772765,96.1775156129,255.783126197,0.0,46.0930336215,113.312780494,663.642505732,647.06379529,5.66466996096,10.9140404818
 12/26  05:00:00,771.293174906,96.1775156129,248.477236639,0.0,100.150657288,148.969399434,644.987735282,624.101670512,5.66466996096,15.2213948089
 12/26  06:00:00,802.976075484,96.1775156129,274.843588111,0.0,100.150657288,149.894399434,1120.68123428,1089.09941928,14.1616749024,17.4201401035
 12/26  07:00:00,1021.75846614,96.1889624837,267.000581769,0.0,176.471037341,302.612436532,755.382108292,709.642477777,28.3233498048,17.4162807097
 12/26  08:00:00,1141.69369074,96.4153934483,281.052269004,0.0,243.2593065,310.10971186,671.898192874,611.826269974,42.4850247072,17.5868981927
 12/26  09:00:00,1303.67497187,96.5498771161,412.340208823,0.0,243.2593065,310.10971186,643.963937918,551.974605609,56.6466996096,35.3426326998
 12/26  10:00:00,1425.89684012,96.6547256707,529.76873249,0.0,243.2593065,302.612436532,593.843101895,515.883066249,42.4850247072,35.4750109384
 12/26  11:00:00,1462.31333007,96.7502300781,562.580807688,0.0,243.2593065,310.10971186,591.569626117,485.065016777,70.808374512,35.6962348281
 12/26  12:00:00,1484.37744226,96.8846391908,579.487283044,0.0,243.2593065,310.10971186,572.394507485,456.870586935,70.808374512,44.7155460377
