Location,BNMC,,,,
Address,"666 N Oak St, Buffalo NY 14203",,,,
Opt. tilt,32 deg,accurate to 0.25 deg,,,
Opt. azimuth,178.25 deg,accurate to 0.25 deg,,,
,,,,,
,Plane of array irradiance | (W/m2),Global horizontal irradiance | (W/m2),Ambient temperature | (C),Angle of incidence | (deg),Wind speed | (m/s)
"Jan 15, 07:00 pm",0,0,0,0,5.2
"Jan 15, 08:00 pm",0,0,-0.6,0,7.7
"Jan 15, 09:00 pm",0,0,0,0,8.8
"Jan 15, 10:00 pm",0,0,0,0,7.2
"Jan 15, 11:00 pm",0,0,-0.6,0,3.6
"Jan 16, 12:00 am",0,0,-1.1,0,3.6
"Jan 16, 01:00 am",0,0,-1.7,0,4.6
"Jan 16, 02:00 am",0,0,-2.8,0,2.1
"Jan 16, 03:00 am",0,0,-2.8,0,3.6
"Jan 16, 04:00 am",0,0,-3.3,0,3.1
"Jan 16, 05:00 am",0,0,-2.8,0,5.2
"Jan 16, 06:00 am",0,0,-2.2,0,6.2
"Jan 16, 07:00 am",12.4894,9,-1.7,72.4788,5.7
"Jan 16, 08:00 am",119.403,60,-1.1,64.938,4.6
"Jan 16, 09:00 am",240.541,136,0,52.6774,5.7
"Jan 16, 10:00 am",317.014,238,1.7,41.9337,6.2
"Jan 16, 11:00 am",344.794,240,2.2,34.2644,6.2
"Jan 16, 12:00 pm",450.14,296,3.9,31.9872,5.7
"Jan 16, 01:00 pm",336.025,242,5,36.1406,6.7
"Jan 16, 02:00 pm",356.213,230,6.1,44.9721,5.2
"Jan 16, 03:00 pm",51.0861,52,6.1,56.3065,6.7
"Jan 16, 04:00 pm",39.0341,31,5.6,68.8492,4.1
"Jan 16, 05:00 pm",0,0,4.4,75.2137,3.6
"Jan 16, 06:00 pm",0,0,3.9,0,5.2
"Jan 16, 07:00 pm",0,0,3.9,0,3.6
"Jan 16, 08:00 pm",0,0,3.9,0,2.6
"Jan 16, 09:00 pm",0,0,2.8,0,2.1
"Jan 16, 10:00 pm",0,0,2.8,0,2.1
"Jan 16, 11:00 pm",0,0,2.2,0,3.1
"Jan 17, 12:00 am",0,0,3.9,0,1.5
"Jan 17, 01:00 am",0,0,5.6,0,4.6
"Jan 17, 02:00 am",0,0,5.6,0,3.1
"Jan 17, 03:00 am",0,0,7.2,0,4.6
"Jan 17, 04:00 am",0,0,7.8,0,4.6
"Jan 17, 05:00 am",0,0,7.2,0,4.1
"Jan 17, 06:00 am",0,0,7.2,0,6.2
"Jan 17, 07:00 am",3.37165,4,6.7,72.5552,4.6
"Jan 17, 08:00 am",36.3161,36,7.2,64.9359,3.6
"Jan 17, 09:00 am",124.776,116,8.3,52.6401,6.7
